"StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","UserLanguage","Q1...18","Q2_Version","ac1","ac1_DO","ac2","Q56","gender","gender_4_TEXT","ideology","pid_1","pid_1_DO","pid_dem","pid_rep","pid_indep","educ","race","hispanic","birthyear","religion","religiosity","income","media_diet_1","media_diet_2","media_diet_3","media_diet_4","media_diet_5","media_diet_6","media_diet_7","media_diet_8","media_diet_9","media_diet_10","media_diet_11","media_diet_12","media_diet_13","media_diet_14","media_diet_15","homeowner","home_purchase","Q109","Q110_1","Q110_2","Q110_3","Q110_4","Q110_5","Q110_DO","Q111_First Click","Q111_Last Click","Q111_Page Submit","Q111_Click Count","Q69_First Click","Q69_Last Click","Q69_Page Submit","Q69_Click Count","Q72_First Click","Q72_Last Click","Q72_Page Submit","Q72_Click Count","Q73","Q74_1","Q74_2","Q74_3","Q74_4","Q74_5","Q74_DO","Q75_First Click","Q75_Last Click","Q75_Page Submit","Q75_Click Count","Q123_First Click","Q123_Last Click","Q123_Page Submit","Q123_Click Count","Q127","Q128_1","Q128_2","Q128_3","Q128_4","Q128_5","Q128_DO","Q129_First Click","Q129_Last Click","Q129_Page Submit","Q129_Click Count","Q91","Q92_1","Q92_2","Q92_3","Q92_4","Q92_5","Q92_DO","Q93_First Click","Q93_Last Click","Q93_Page Submit","Q93_Click Count","Q3_First Click","Q3_Last Click","Q3_Page Submit","Q3_Click Count","Q56_First Click","Q56_Last Click","Q56_Page Submit","Q56_Click Count","Q1_125","Q1_1","Q1_2","Q1_3","Q1_4","Q1_5","Q1_DO","Q57_First Click","Q57_Last Click","Q57_Page Submit","Q57_Click Count","Q132_First Click","Q132_Last Click","Q132_Page Submit","Q132_Click Count","Q136","Q137_1","Q137_2","Q137_3","Q137_4","Q137_5","Q137_DO","Q138_First Click","Q138_Last Click","Q138_Page Submit","Q138_Click Count","Q1...151","Q2_1","Q2_2","Q2_3","Q2_4","shapiro_fc","shapiro_c","shapiro_misinfo","gruber_fc","gruber_c","gruber_misinfo","FL_80_DO","abortion_attitudes_DO"
"2024-06-17 09:27:45","2024-06-17 09:31:44","100","238","True","2024-06-17 09:31:45","EN","Yes","125.0.0.0","Watched television,Talked on the telephone","Talked on the telephone|Watched television|Went bungee-jumping|None of these|Climbed Mt. Everest|Starred in a movie","Extremely interested,Very interested","2004","Woman",NA,"Slightly liberal","Democrat","Republican|Democrat|Independent|Other","Not very strong Democrat",NA,NA,"Bachelor's degree","Asian/Pacific Islander","No","2002","Roman Catholic","Once or twice a month","$50,000 to less than $60,000","Never","Never","Never","Never","Never","Never","Never","Once","Never","Never","Never","Never","Never","Several times","Once","Owned by you or someone in your household","2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","11.04","0","0","0","6.169","0","Not very accurate","50","77","21","50","78","Planned Parenthood|iPhone|McDonald's|Ben Shapiro|PolitiFact","1.962","12.235","12.924","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The law should permit abortion only in case of rape, incest or when the woman's life is in danger.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties","1",NA,NA,NA,NA,NA,"FL_83","Q2|Q1"
"2024-06-17 09:28:13","2024-06-17 09:31:58","100","224","True","2024-06-17 09:31:59","EN","Yes","17.5","Watched television,Talked on the telephone","None of these|Watched television|Climbed Mt. Everest|Starred in a movie|Went bungee-jumping|Talked on the telephone","Extremely interested,Very interested","2010","Woman",NA,"Very conservative","Republican","Democrat|Republican|Independent|Other",NA,"Strong Republican",NA,"Bachelor's degree","White","No","1969","Roman Catholic","Never","$60,000 to less than $70,000","Every day","Never","Every day","Every day","Several times","Never","Every day","Never","Every day","Never","Never","Never","Never","Every day","Never","Owned by you or someone in your household","2010","Not at all accurate","23","86","67","50","8","McDonald's|PolitiFact|Ben Shapiro|iPhone|Planned Parenthood","14.961","24.173","25.272","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"By law, abortion should never be permitted.","Should face penalties","Should face penalties","Should face penalties","Should face penalties",NA,"1",NA,NA,NA,NA,"FL_85","Q2|Q1"
"2024-06-17 09:27:48","2024-06-17 09:32:22","100","274","True","2024-06-17 09:32:23","EN","Yes","127.0","Watched television","None of these|Watched television|Talked on the telephone|Went bungee-jumping|Starred in a movie|Climbed Mt. Everest","Extremely interested,Very interested","2013","Man",NA,"Very liberal","Democrat","Democrat|Republican|Independent|Other","Strong Democrat",NA,NA,"Some college","White","No","1997","Atheist","Never","Less than $30,000","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Several times","Rented","2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35.594","35.594","51.546","1","Not at all accurate","0","50","21","100","100","iPhone|PolitiFact|Ben Shapiro|Planned Parenthood|McDonald's","5.191","21.658","22.623","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties",NA,NA,"1",NA,NA,NA,"FL_111","Q2|Q1"
"2024-06-17 09:28:48","2024-06-17 09:33:43","100","294","True","2024-06-17 09:33:43","EN","Yes","125.0.0.0","Watched television,Talked on the telephone","Talked on the telephone|Starred in a movie|Went bungee-jumping|None of these|Watched television|Climbed Mt. Everest","Extremely interested,Very interested","2022","Man",NA,"Somewhat liberal","Democrat","Democrat|Republican|Independent|Other","Strong Democrat",NA,NA,"High school diploma or the equivalent (GED)","White","Yes","1991","Atheist","Never","$30,000 to less than $40,000","Several times","Several times","Several times","Every day","Several times","Never","Every day","Never","Several times","Several times","Several times","Never","Never","Every day","Every day","Rented","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.462","74.812","75.117","2","Not at all accurate","0","100","100","100","100","Planned Parenthood|iPhone|McDonald's|PolitiFact|Ben Shapiro","1.1","9.078","12.622","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties",NA,NA,"1",NA,NA,NA,"FL_111","Q1|Q2"
"2024-06-17 09:27:46","2024-06-17 09:34:08","100","382","True","2024-06-17 09:34:08","EN","Yes","126.0.0.0","Watched television,Talked on the telephone","Watched television|None of these|Starred in a movie|Went bungee-jumping|Climbed Mt. Everest|Talked on the telephone","Extremely interested,Very interested","2007","Man",NA,"Slightly liberal","Democrat","Republican|Democrat|Independent|Other","Not very strong Democrat",NA,NA,"Some college","White","No","1979","Protestant","Seldom","$50,000 to less than $60,000","Several times","Never","Never","Once","Every day","Never","Every day","Never","Never","Never","Several times","Never","Never","Never","Never","Owned by you or someone in your household","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.063","64.88","94.277","3","54.184","54.184","58.018","1","Not at all accurate","62","92","83","34","87","McDonald's|Ben Shapiro|PolitiFact|iPhone|Planned Parenthood","3.501","21.729","22.901","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The law should permit abortion for reasons other than rape, incest, or danger to the woman's life, but only after the need has been clearly established.","Should not face penalties","Should face penalties","Should not face penalties","Should not face penalties","1",NA,NA,NA,NA,NA,"FL_83","Q2|Q1"
"2024-06-17 09:29:32","2024-06-17 09:34:37","100","304","True","2024-06-17 09:34:37","EN","Yes","125.0.0.0","Watched television","Watched television|Starred in a movie|Talked on the telephone|Went bungee-jumping|Climbed Mt. Everest|None of these","Extremely interested,Very interested","1979","Man",NA,"Moderate; middle of the road","Independent","Democrat|Republican|Independent|Other",NA,NA,"Closer to the Democratic Party","Professional or doctorate degree","White","No","1989","Protestant","Once a week","$100,000 to less than $200,000","Once","Once","Once","Several times","Once","Every day","Every day","Once","Several times","Several times","Every day","Once","Once","Several times","Several times","Owned by you or someone in your household","1979","Somewhat accurate","65","100","84","61","89","McDonald's|iPhone|PolitiFact|Ben Shapiro|Planned Parenthood","3.772","18.916","19.532","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The law should permit abortion only in case of rape, incest or when the woman's life is in danger.","Should face penalties","Should face penalties","Should face penalties","Should face penalties",NA,"1",NA,NA,NA,NA,"FL_85","Q1|Q2"
"2024-06-17 09:27:44","2024-06-17 09:36:14","100","510","True","2024-06-17 09:36:14","EN","Yes","125.0.0.0","Watched television","None of these|Talked on the telephone|Starred in a movie|Went bungee-jumping|Climbed Mt. Everest|Watched television","Extremely interested,Very interested","2022","Man",NA,"Somewhat liberal","Democrat","Democrat|Republican|Independent|Other","Not very strong Democrat",NA,NA,"Bachelor's degree","Other","Yes","1998","Atheist","Never","$100,000 to less than $200,000","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Several times","Rented","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36.402","43.73","94.473","4","0","0","30.232","0","Not at all accurate","50","92","8","50","50","iPhone|McDonald's|Planned Parenthood|Seth Gruber|PolitiFact","5.746","139.316","144.372","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The law should permit abortion only in case of rape, incest or when the woman's life is in danger.","Should face penalties","Should face penalties","Should face penalties","Should face penalties",NA,NA,NA,"1",NA,NA,"FL_88","Q1|Q2"
"2024-06-17 09:27:46","2024-06-17 09:36:35","100","529","True","2024-06-17 09:36:36","EN","Yes","126.0","Watched television,Talked on the telephone","Starred in a movie|Watched television|Climbed Mt. Everest|Talked on the telephone|None of these|Went bungee-jumping","Extremely interested,Very interested","2014","Woman",NA,"Moderate; middle of the road","Independent","Democrat|Republican|Independent|Other",NA,NA,"Closer to the Republican Party","Some college","White","No","1983","Protestant","A few times a year","$50,000 to less than $60,000","Never","Never","Several times","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Several times","Rented",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.377","132.805","133.542","3","0","0","188.126","0","Not at all accurate","38","9","14","50","50","Planned Parenthood|iPhone|Ben Shapiro|PolitiFact|McDonald's","5.22","13.718","14.448","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties","1",NA,NA,NA,NA,NA,"FL_83","Q2|Q1"
"2024-06-17 09:27:45","2024-06-17 09:37:19","100","573","True","2024-06-17 09:37:20","EN","Yes","126.0.0.0","Watched television,Talked on the telephone","Climbed Mt. Everest|Watched television|Went bungee-jumping|Talked on the telephone|None of these|Starred in a movie","Extremely interested,Very interested","2008","Woman",NA,"Moderate; middle of the road","Independent","Democrat|Republican|Independent|Other",NA,NA,"Neither","Bachelor's degree","White","No","1993","Agnostic","Never","$100,000 to less than $200,000","Once","Once","Several times","Never","Several times","Several times","Never","Never","Never","Never","Never","Never","Once","Never","Once","Owned by you or someone in your household","2022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","63.765","0","Not very accurate","50","80","45","50","80","iPhone|Seth Gruber|McDonald's|Planned Parenthood|PolitiFact","5.981","28.535","29.466","13","By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties",NA,NA,NA,NA,NA,"1","FL_112","Q1|Q2"
"2024-06-17 09:27:46","2024-06-17 09:39:06","100","680","True","2024-06-17 09:39:06","EN","Yes","125.0.0.0","Watched television,Talked on the telephone","None of these|Went bungee-jumping|Starred in a movie|Watched television|Climbed Mt. Everest|Talked on the telephone","Extremely interested,Very interested","1995","Man",NA,"Somewhat liberal","Independent","Democrat|Republican|Independent|Other",NA,NA,"Closer to the Democratic Party","Bachelor's degree","Black or African American","No","1995","Protestant","Once a week","$60,000 to less than $70,000","Several times","Once","Several times","Several times","Once","Once","Once","Once","Several times","Never","Several times","Several times","Once","Several times","Once","Owned by you or someone in your household","2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate","50","70","70","55","90","Planned Parenthood|Seth Gruber|McDonald's|PolitiFact|iPhone","42.84","63.242","64.067","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The law should permit abortion only in case of rape, incest or when the woman's life is in danger.","Should face penalties","Should not face penalties","Should not face penalties","Should not face penalties",NA,NA,NA,NA,"1",NA,"FL_89","Q2|Q1"
