"StartDate","EndDate","Progress","Duration (in seconds)","Finished","RecordedDate","UserLanguage","consent","trump_job_approval","political_interest","attention_check","race","hispanic","age","education","income","gender","gender_4_TEXT","religion","attendance","pid_1","pid_dem","pid_rep","pid_indep","media_diet_1","media_diet_2","media_diet_3","media_diet_4","media_diet_5","media_diet_6","media_diet_7","media_diet_8","media_diet_9","media_diet_10","media_diet_11","media_diet_12","media_diet_13","media_diet_14","media_confidence","media_factchecks","pk_1","pk_2","pk_3","pk_timer_First Click","pk_timer_Last Click","pk_timer_Page Submit","pk_timer_Click Count","outcome questions_1","outcome questions_2","outcome questions_3","fc_1_belief","fc_1_misinfo_timer_First Click","fc_1_misinfo_timer_Last Click","fc_1_misinfo_timer_Page Submit","fc_1_misinfo_timer_Click Count","fc_1_factcheck_time1_First Click","fc_1_factcheck_time1_Last Click","fc_1_factcheck_time1_Page Submit","fc_1_factcheck_time1_Click Count","fc_1_factcheck_time2_First Click","fc_1_factcheck_time2_Last Click","fc_1_factcheck_time2_Page Submit","fc_1_factcheck_time2_Click Count","fc_2_belief","fc_2_misinfo_timer_First Click","fc_2_misinfo_timer_Last Click","fc_2_misinfo_timer_Page Submit","fc_2_misinfo_timer_Click Count","fc_2_factcheck_time1_First Click","fc_2_factcheck_time1_Last Click","fc_2_factcheck_time1_Page Submit","fc_2_factcheck_time1_Click Count","fc_2_factcheck_time2_First Click","fc_2_factcheck_time2_Last Click","fc_2_factcheck_time2_Page Submit","fc_2_factcheck_time2_Click Count","fc_3_belief","fc_3_misinfo_timer_First Click","fc_3_misinfo_timer_Last Click","fc_3_misinfo_timer_Page Submit","fc_3_misinfo_timer_Click Count","fc_3_factcheck_time1_First Click","fc_3_factcheck_time1_Last Click","fc_3_factcheck_time1_Page Submit","fc_3_factcheck_time1_Click Count","fc_3_factcheck_time2_First Click","fc_3_factcheck_time2_Last Click","fc_3_factcheck_time2_Page Submit","fc_3_factcheck_time2_Click Count","thermometer_1","thermometer_2","thermometer_3","thermometer_5","thermometer_6","thermometer_7","therm_timers_First Click","therm_timers_Last Click","therm_timers_Page Submit","therm_timers_Click Count","Q62","comments","Q_TotalDuration","Z_fc_1","Z_fc_2","Z_fc_3"
"2023-10-18 08:27:18","2023-10-18 08:34:19","100","420","True","2023-10-18 08:34:19","EN","Yes","Somewhat approve","Very interested","Extremely interested,Very interested","White or Caucasian","No","1991","Bachelor's degree in college (4-year)","$60,000-$89,999","Woman",NA,"Jewish","Never","Democrat","Strong Democrat",NA,NA,"Never","Every day","Once","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","A fair amount","Frequently","Six years","Twice","Rishi Sunak","8.941","17.907","19.011","4","Disagree strongly","Disagree strongly","Disagree","Not at all accurate",NA,NA,NA,NA,"0","0","71.189","0","0","0","55.401","0","Not at all accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","50","15","75","88","78","6.951","24.018","28.527","11","1) Fixing the broken healthcare system
2) Investing in sustainable resources to combat climate change
3) Fixing housing crisis",NA,"420","factcheck","control","control"
"2023-10-18 08:28:25","2023-10-18 08:34:39","100","373","True","2023-10-18 08:34:40","EN","Yes","Somewhat approve","Not very interested","Extremely interested,Very interested","White or Caucasian","No","1974","Bachelor's degree in college (4-year)","$90,000-$119,999","Man",NA,"Atheist","Never","Democrat","Strong Democrat",NA,NA,"Never","Never","Every day","Once","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","A fair amount","Frequently","Six years","Twice","Rishi Sunak","12.751","17.976","18.933","3","Disagree","Disagree strongly","Disagree strongly","Not very accurate",NA,NA,NA,NA,"0","0","37.369","0","0","0","27.656","0","Not at all accurate","0","0","14.922","0",NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate","0","0","20.174","0",NA,NA,NA,NA,NA,NA,NA,NA,"20","30","20","20","50","100","11.431","26.831","27.58","7","stop global warming
decrease inequality
free health care",NA,"373","factcheck","misinformation","misinformation"
"2023-10-18 08:27:22","2023-10-18 08:34:53","100","451","True","2023-10-18 08:34:54","EN","Yes","Strongly disapprove","Somewhat interested","Extremely interested,Very interested","White or Caucasian","No","1979","Some college but no degree","Less than $30,000","Man",NA,"Agnostic","Never","Democrat","Not very strong Democrat",NA,NA,"Once","Never","Several times","Several times","Never","Never","Never","Never","Never","Once","Never","Once","Once","Once","A fair amount","Sometimes","Six years","Twice","Rishi Sunak","3.53","14.216","15.958","5","Neither disagree nor agree","Disagree","Neither disagree nor agree","Somewhat accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate",NA,NA,NA,NA,"0","0","45.605","0","14.942","22.547","27.043","2","Not very accurate","0","0","28.123","0",NA,NA,NA,NA,NA,NA,NA,NA,"51","50","47","48","53","53","7.281","33.78","39.266","11","fix the economy, fix the homeless, get money out of washinton.",NA,"451","control","factcheck","misinformation"
"2023-10-18 08:27:34","2023-10-18 08:36:44","100","549","True","2023-10-18 08:36:45","EN","Yes","Somewhat approve","Very interested","Extremely interested,Very interested","White or Caucasian","No","1988","Bachelor's degree in college (4-year)","$30,000-$59,999","Woman",NA,"Nothing in particular","Never","Democrat","Strong Democrat",NA,NA,"Once","Never","Once","Never","Never","Several times","Never","Never","Never","Several times","Never","Several times","Once","Never","A fair amount","Sometimes","Six years","Twice","Margaret Thatcher","5.898","16.375","20.67","3","Disagree","Disagree strongly","Disagree strongly","Not very accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate","0","0","53.025","0",NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","50","50","50","50","81","14.31","30.33","32.094","7","1. I would like to see elected leaders put their focus back on the people of this country and quit their in-fighting.  Both parties make it impossible to get anything done and stick to party lines, refusing to compromise on important things.  
2. The American people are suffering - inflation is impacting everyone, the middle class are struggling more than ever, the rich are getting richer, homelessness is on the rise because the COL is out of control.
3. Healthcare costs are insane due to privatized healthcare and independent drug companies - they need more regulation.",NA,"549","control","misinformation","control"
"2023-10-18 08:27:46","2023-10-18 08:37:18","100","571","True","2023-10-18 08:37:19","EN","Yes","Somewhat approve","Somewhat interested","Extremely interested,Very interested","White or Caucasian","No","1987","Master's degree","$60,000-$89,999","Woman",NA,"Roman Catholic","Once a week","Republican",NA,"Strong Republican",NA,"Once","Several times","Once","Never","Once","Once","Once","Several times","Once","Several times","Once","Once","Several times","Several times","A fair amount","Sometimes","Six years","Twice","Rishi Sunak","14.421","81.485","82.399","16","Neither disagree nor agree","Neither disagree nor agree","Agree","Somewhat accurate","0","0","82.258","0",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat accurate","0","0","11.09","0",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat accurate","0","0","36.744","0",NA,NA,NA,NA,NA,NA,NA,NA,"81","54","66",NA,"85","62","5.686","10.678","11.574","5","Addressing Climate Change: Elected leaders should prioritize comprehensive and sustainable policies to combat climate change. This includes investing in clean energy, reducing greenhouse gas emissions, and working towards international cooperation on climate issues to protect the environment and future generations.","like study","571","misinformation","misinformation","misinformation"
"2023-10-18 08:27:44","2023-10-18 08:37:49","100","605","True","2023-10-18 08:37:50","EN","Yes","Strongly approve","Somewhat interested","Extremely interested,Very interested","White or Caucasian","No","1965","Master's degree","$90,000-$119,999","Woman",NA,"Jewish","A few times a year","Democrat","Strong Democrat",NA,NA,"Every day","Never","Never","Several times","Never","Never","Never","Never","Never","Every day","Never","Never","Never","Never","A fair amount","Sometimes","Six years","Twice","Rishi Sunak","13.953","36.531","40.25","4","Disagree strongly","Disagree strongly","Neither disagree nor agree","Not at all accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate",NA,NA,NA,NA,"0","0","84.881","0","0","0","40.861","0","Not at all accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","25","40","100","100","100","9.939","93.696","95.354","8","The top priority is Climate Change. If we don't fix that, nothing else matters.
The second priority is Gun Control.  We need to stop innocent lives from being lost just so everyone can have their right to own a gun.
The third priority is abortion rights. Too many women will be injured or die as a result of illegal abortions.",NA,"605","control","factcheck","control"
"2023-10-18 08:27:40","2023-10-18 08:38:30","100","650","True","2023-10-18 08:38:31","EN","Yes","Somewhat approve","Somewhat interested","Extremely interested,Very interested","Asian","No","1995","Bachelor's degree in college (4-year)","$120,000-$149,999","Man",NA,"Agnostic","Seldom","Democrat","Not very strong Democrat",NA,NA,"Once","Once","Several times","Once","Every day","Every day","Every day","Once","Once","Once","Once","Once","Every day","Every day","Not very much","Sometimes","Six years","Twice","Don't know","1.821","8.802","9.362","6","Neither disagree nor agree","Neither disagree nor agree","Neither disagree nor agree","Not very accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate","30.192","30.192","30.44","1",NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45","51","51","51","46","19","1.176","6.24","6.774","11","Addressing climate change: With increasing global temperatures and extreme weather events, many believe that elected leaders should prioritize environmental policies, promote sustainable energy sources, and commit to international agreements to reduce carbon emissions.

Healthcare reform: Ensuring affordable and accessible healthcare for all citizens has been a longstanding issue. Many advocate for reforms that expand coverage, reduce healthcare costs, and improve the quality of care.

Economic stability and job creation: In the aftermath of economic downturns and the ongoing effects of the COVID-19 pandemic, there's a call for policies that stimulate job growth, support small businesses, and ensure a stable economic future for all Americans.","n/a","650","control","misinformation","control"
"2023-10-18 08:28:04","2023-10-18 08:39:47","100","702","True","2023-10-18 08:39:48","EN","Yes","Somewhat disapprove","Very interested","Extremely interested,Very interested","White or Caucasian","No","1981","Bachelor's degree in college (4-year)","$150,000-$179,999","Man",NA,"Agnostic","Seldom","Independent",NA,NA,"Closer to the Republican Party","Once","Never","Once","Once","Never","Never","Every day","Never","Never","Never","Never","Never","Never","Never","None at all","Frequently","Six years","Twice","Rishi Sunak","14.816","23.348","25.553","3","Neither disagree nor agree","Disagree","Disagree strongly","Somewhat accurate","71.308","71.308","71.73","1",NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate","10.275","10.275","67.101","1",NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate","0","0","31.791","0",NA,NA,NA,NA,NA,NA,NA,NA,"60","50","60","5","15","35","36.885","91.072","92.709","6","'-Strengthening our national defense from enemies foreign and abroad. 
-Concrete solutions to the illegal immigration crisis facing our southern borders
-Lowering the cost of healthcare and prescription drugs by allowing citizens to source prescription drugs anywhere in the world, thereby increasing supply and lowering costs in America.",NA,"702","misinformation","misinformation","misinformation"
"2023-10-18 08:28:20","2023-10-18 08:42:53","100","872","True","2023-10-18 08:42:54","EN","Yes","Somewhat approve","Somewhat interested","Extremely interested,Very interested","White or Caucasian","No","1975","Some college but no degree","Less than $30,000","Man",NA,"Atheist","Never","Democrat","Strong Democrat",NA,NA,"Never","Never","Several times","Never","Never","Never","Several times","Never","Never","Never","Never","Never","Never","Never","A great deal","Sometimes","Four years","Twice","Don't know","9.93","26.273","33.436","3","Disagree strongly","Disagree strongly","Disagree strongly","Not at all accurate","0","0","69.814","0",NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate",NA,NA,NA,NA,"12.194","29.587","46.583","2","27.122","27.122","78.044","1","Not at all accurate",NA,NA,NA,NA,"0","0","24.801","0","3.549","9.08","110.318","2","0","0","0","100","100","100","17.641","158.059","159.344","9","Top priority should be responding to climate change since that's an existential threat. Then I would like to see something done about getting healthcare coverage. And then I would like to see access to abortion enshrined as a right.",NA,"872","misinformation","factcheck","factcheck"
"2023-10-18 08:28:02","2023-10-18 08:42:53","100","890","True","2023-10-18 08:42:54","EN","Yes","Somewhat approve","Somewhat interested","Extremely interested,Very interested","White or Caucasian","No","1982","Bachelor's degree in college (4-year)","$120,000-$149,999","Man",NA,"Roman Catholic","A few times a year","Democrat","Strong Democrat",NA,NA,"Once","Several times","Once","Several times","Every day","Several times","Every day","Once","Several times","Once","Several times","Once","Every day","Several times","A great deal","Sometimes","Six years","Twice","Rishi Sunak","11.912","158.648","160.666","23","Neither disagree nor agree","Agree","Neither disagree nor agree","Somewhat accurate","0","0","96.567","0",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat accurate","0","0","27.921","0",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat accurate",NA,NA,NA,NA,"0","0","39.346","0","0","0","60.521","0","72","83","72","61","71","77","9.162","29.396","31.244","7","patience, drive, attention to detail, strong sense of responsibility, and firm moral conscience","Good","890","misinformation","misinformation","factcheck"
