"StartDate_w1","EndDate_w1","Progress_w1","Duration (in seconds)_w1","Finished_w1","RecordedDate_w1","UserLanguage_w1","gender_w1","gender_4_TEXT_w1","ideology_w1","pid_1_w1","pid_dem_w1","pid_rep_w1","pid_indep_w1","educ_w1","race_w1","hispanic_w1","birthyear_w1","Q27_w1","religion_w1","religiosity_w1","Q43_w1","income_w1","media_diet_1_w1","media_diet_2_w1","media_diet_3_w1","media_diet_4_w1","media_diet_5_w1","media_diet_6_w1","media_diet_7_w1","media_diet_8_w1","media_diet_9_w1","media_diet_10_w1","media_diet_11_w1","media_diet_12_w1","media_diet_13_w1","media_diet_14_w1","media_diet_15_w1","fc_1_belief_w1","Q43_1_w1","fc_2_belief_w1","fc_2_certainty_1_w1","fc_3_belief_w1","fc_3_certainty_1_w1","abortion_laws_w1","abortion_penalties_1_w1","abortion_penalties_2_w1","abortion_penalties_3_w1","abortion_penalties_4_w1","thermometer_1_w1","thermometer_2_w1","thermometer_3_w1","thermometer_5_w1","thermometer_6_w1","thermometer_7_w1","voting_w1","Q35_w1","Q46_w1","Q28_w1","Q29_w1","Q30_w1","Q31_w1","StartDate_w2","EndDate_w2","Progress_w2","Duration (in seconds)_w2","Finished_w2","RecordedDate_w2","UserLanguage_w2","Q3_First Click...23_w2","Q3_Last Click...24_w2","Q3_Page Submit...25_w2","Q3_Click Count...26_w2","Q6_First Click...27_w2","Q6_Last Click...28_w2","Q6_Page Submit...29_w2","Q6_Click Count...30_w2","Q1...31_w2","Q1_1...32_w2","Q1_2...33_w2","Q1_3...34_w2","Q1_4...35_w2","Q1_5...36_w2","Q2_First Click...37_w2","Q2_Last Click...38_w2","Q2_Page Submit...39_w2","Q2_Click Count...40_w2","Q3_First Click...41_w2","Q3_Last Click...42_w2","Q3_Page Submit...43_w2","Q3_Click Count...44_w2","Q3_First Click...45_w2","Q3_Last Click...46_w2","Q3_Page Submit...47_w2","Q3_Click Count...48_w2","Q6_First Click...49_w2","Q6_Last Click...50_w2","Q6_Page Submit...51_w2","Q6_Click Count...52_w2","Q1...53_w2","Q1_1...54_w2","Q1_2...55_w2","Q1_3...56_w2","Q1_4...57_w2","Q1_5...58_w2","Q2_First Click...59_w2","Q2_Last Click...60_w2","Q2_Page Submit...61_w2","Q2_Click Count...62_w2","Q3_First Click...63_w2","Q3_Last Click...64_w2","Q3_Page Submit...65_w2","Q3_Click Count...66_w2","Q3_First Click...67_w2","Q3_Last Click...68_w2","Q3_Page Submit...69_w2","Q3_Click Count...70_w2","Q6_First Click...71_w2","Q6_Last Click...72_w2","Q6_Page Submit...73_w2","Q6_Click Count...74_w2","Q1...75_w2","Q1_1...76_w2","Q1_2...77_w2","Q1_3...78_w2","Q1_4...79_w2","Q1_5...80_w2","Q1_6_w2","Q2_First Click...82_w2","Q2_Last Click...83_w2","Q2_Page Submit...84_w2","Q2_Click Count...85_w2","Q3_First Click...86_w2","Q3_Last Click...87_w2","Q3_Page Submit...88_w2","Q3_Click Count...89_w2","Q1...90_w2","Q2_1_w2","Q2_2_w2","Q2_3_w2","Q2_4_w2","fc1_w2","fc2_w2","fc3_w2"
"2024-01-31 13:57:37","2024-01-31 14:02:42","100","305","True","2024-01-31 14:02:43","EN","Woman",NA,"Very conservative","Republican",NA,"Strong Republican",NA,"Some college","White","No","1980","A little","Nothing in particular","Never","No","$100,000 to less than $200,000","Never","Never","Never","Once","Every day","Once","Never","Never","Never","Never","Never","Never","Never","Several times","Never","Very accurate","63","Not very accurate","88","Not at all accurate","71","The law should permit abortion for reasons other than rape, incest, or danger to the woman's life, but only after the need has been clearly established.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties","50","50","50","50","50","46","I would vote only if there was no line to wait in","Extremely important","43","It is a fact that millions of Jewish civilians were killed in World War II","Extremely",NA,NA,"2024-02-22 10:37:41","2024-02-22 10:39:05","100","84","True","2024-02-22 10:39:06","EN",NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate","31","50","8","14","25","6.696","18.493","19.322","15","3.957","3.957","8.962","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The law should permit abortion for reasons other than rape, incest, or danger to the woman's life, but only after the need has been clearly established.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties","mis",NA,NA
"2024-01-31 13:39:26","2024-01-31 13:44:19","100","292","True","2024-01-31 13:44:20","EN","Man",NA,"Very conservative","Republican",NA,"Strong Republican",NA,"Bachelor's degree","White","No","1972","A lot","Protestant","A few times a year","No","$60,000 to less than $70,000","Never","Never","Several times","Never","Never","Never","Every day","Never","Never","Never","Never","Never","Never","Every day","Once","Not at all accurate","100","Not at all accurate","100","Not at all accurate","100","The law should permit abortion only in case of rape, incest or when the woman's life is in danger.","Should face penalties","Should face penalties","Should face penalties","Should face penalties","50","50","50","0","50","0","I  would be willing to wait in line for as long as it takes to vote","Extremely important","51","It is a fact that millions of Jewish civilians were killed in World War II","Extremely",NA,NA,"2024-02-22 08:06:38","2024-02-22 08:08:02","100","83","True","2024-02-22 08:08:02","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate","0","0","23","0","0","7.867","22.525","23.488","7","6.739","6.739","8.472","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The law should permit abortion only in case of rape, incest or when the woman's life is in danger.","Should face penalties","Should face penalties","Should face penalties","Should face penalties",NA,"mis",NA
"2024-01-31 14:06:59","2024-01-31 14:15:27","100","507","True","2024-01-31 14:15:27","EN","Woman",NA,"Somewhat liberal","Democrat","Not very strong Democrat",NA,NA,"High school diploma or the equivalent (GED)","White","No","1985","A moderate amount","Agnostic","A few times a year","No","$30,000 to less than $40,000","Several times","Never","Several times","Several times","Never","Never","Never","Never","Never","Never","Several times","Never","Never","Never","Never","Somewhat accurate","62","Not very accurate","100","Not at all accurate","96","By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties",NA,NA,"30",NA,NA,"85","I  would be willing to wait in line for as long as it takes to vote","Very important","38","It is a fact that millions of Jewish civilians were killed in World War II","Very",NA,NA,"2024-02-22 12:59:42","2024-02-22 13:07:29","100","466","True","2024-02-22 13:07:30","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate",NA,NA,"81","96",NA,"82","58.993","89.52","89.541","17","0","0","30.915","0","By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties",NA,NA,"mis"
"2024-01-31 14:05:55","2024-01-31 14:10:00","100","245","True","2024-01-31 14:10:01","EN","Woman",NA,"Very liberal","Democrat","Strong Democrat",NA,NA,"Master's degree","White","No","1985","A lot","Jewish","A few times a year","No","$100,000 to less than $200,000","Several times","Several times","Several times","Never","Never","Once","Never","Never","Never","Several times","Several times","Never","Never","Once","Never","Not very accurate","41","Not at all accurate","98","Not at all accurate","92","By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties","70","0","27","71","62","95","Not applicable: I would not vote, no matter how long or short the line was","Extremely important","38",NA,NA,"It is a fact that the Holocaust happened","Extremely","2024-02-22 14:29:36","2024-02-22 14:31:18","100","102","True","2024-02-22 14:31:19","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate","0","69","23","76","100","10.28","35.921","36.636","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties",NA,"c",NA
"2024-01-31 13:35:56","2024-01-31 13:38:45","100","168","True","2024-01-31 13:38:45","EN","Woman",NA,"Moderate; middle of the road","Independent",NA,NA,"Neither","Master's degree","Asian/Pacific Islander","No","1995","A moderate amount","Atheist","Never","No","$70,000 to less than $80,000","Never","Never","Never","Several times","Never","Never","Once","Never","Never","Every day","Never","Never","Every day","Several times","Never","Not very accurate","79","Not at all accurate","71","Not very accurate","50","By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties","50","50","50","50","50","77","I would be willing to wait in line up to an hour to vote","Very important","28",NA,NA,"It is a fact that the Holocaust happened","Extremely","2024-02-22 08:09:10","2024-02-22 08:11:16","100","125","True","2024-02-22 08:11:16","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate","50","50","63","64","50","99","1.946","10.915","11.801","15","30.802","30.802","31.124","1","By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties",NA,NA,"mis"
"2024-01-31 13:53:06","2024-01-31 13:56:52","100","225","True","2024-01-31 13:56:53","EN","Woman",NA,"Very liberal","Democrat","Strong Democrat",NA,NA,"Bachelor's degree","White","No","1977","A moderate amount","Agnostic","Seldom","No","$100,000 to less than $200,000","Once","Never","Every day","Once","Never","Never","Never","Never","Never","Several times","Several times","Never","Once","Several times","Never","Not very accurate","75","Not at all accurate","100","Not very accurate","90","By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties","50","9","0","36","50","91","I would be willing to wait in line for 1-3 hours to vote","Extremely important","46","It is a fact that millions of Jewish civilians were killed in World War II","Extremely",NA,NA,"2024-02-22 18:52:14","2024-02-22 18:55:30","100","195","True","2024-02-22 18:55:30","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate","4","78","58","50","86","9.436","18.205","19.775","5","0","0","61.204","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties",NA,"mis",NA
"2024-01-31 14:10:46","2024-01-31 14:15:54","100","307","True","2024-01-31 14:15:54","EN","Man",NA,"Moderate; middle of the road","Other",NA,NA,"Closer to the Republican Party","Bachelor's degree","Asian/Pacific Islander","No","1993","A moderate amount","Agnostic","Never","No","$30,000 to less than $40,000","Once","Never","Every day","Several times","Once","Several times","Never","Several times","Once","Once","Once","Once","Once","Several times","Several times","Not very accurate","77","Not very accurate","81","Not very accurate","81","The law should permit abortion for reasons other than rape, incest, or danger to the woman's life, but only after the need has been clearly established.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties","38","43","27","40","45","61","I would be willing to wait in line up to 15 minutes to vote","Slightly important","30",NA,NA,"It is a fact that the Holocaust happened","Extremely","2024-02-22 08:13:35","2024-02-22 08:16:24","100","168","True","2024-02-22 08:16:24","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not very accurate","27","50","71","29","50","60","3.633","26.138","26.592","20",NA,NA,NA,NA,"The law should permit abortion for reasons other than rape, incest, or danger to the woman's life, but only after the need has been clearly established.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties",NA,NA,"c"
"2024-01-31 13:57:18","2024-01-31 14:03:04","100","345","True","2024-01-31 14:03:04","EN","Woman",NA,"Very liberal","Other",NA,NA,"Closer to the Democratic Party","Professional or doctorate degree","White,Other","No","1987","A moderate amount","Muslim","Once a week","No","$100,000 to less than $200,000","Several times","Never","Several times","Several times","Several times","Several times","Several times","Several times","Once","Once","Once","Never","Several times","Several times","Several times","Not at all accurate","100","Not at all accurate","100","Not at all accurate","100","By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties","0","0","0","55","75","100","I  would be willing to wait in line for as long as it takes to vote","Extremely important","36","It is a fact that millions of Jewish civilians were killed in World War II","Extremely",NA,NA,"2024-02-22 08:08:23","2024-02-22 08:14:12","100","349","True","2024-02-22 08:14:13","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all accurate","0","55","9","0","100","100","11.734","89.715","90.094","15","6.357","6.357","32.511","1","By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties",NA,NA,"mis"
"2024-01-31 13:38:07","2024-01-31 13:40:51","100","163","True","2024-01-31 13:40:52","EN","Man",NA,"Moderate; middle of the road","Independent",NA,NA,"Neither","High school diploma or the equivalent (GED)","Black or African American","No","1996","A moderate amount","Protestant","More than once a week","No","$100,000 to less than $200,000","Several times","Never","Never","Several times","Once","Never","Every day","Once","Never","Never","Never","Never","Never","Every day","Every day","Somewhat accurate","68","Not very accurate","81","Not very accurate","86","By law, abortion should never be permitted.","Should face penalties","Should face penalties","Should face penalties","Should face penalties","50","50","50","50","50","50","Not applicable: I would not vote, no matter how long or short the line was","Not at all important","27","It is a fact that millions of Jewish civilians were killed in World War II","Extremely",NA,NA,"2024-02-22 11:32:00","2024-02-22 11:34:05","100","124","True","2024-02-22 11:34:06","EN",NA,NA,NA,NA,NA,NA,NA,NA,"Very accurate","50","50","50","50","50","1.536","6.185","6.791","6","0","0","69.605","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"By law, abortion should never be permitted.","Should face penalties","Should face penalties","Should face penalties","Should face penalties","mis",NA,NA
"2024-01-31 14:12:25","2024-01-31 14:24:39","100","734","True","2024-01-31 14:24:40","EN","Man",NA,"Somewhat liberal","Democrat","Not very strong Democrat",NA,NA,"Professional or doctorate degree","White","No","1983","A moderate amount","Agnostic","Seldom","No","$100,000 to less than $200,000","Several times","Never","Several times","Never","Never","Never","Never","Never","Once","Several times","Several times","Never","Once","Several times","Several times","Not very accurate","80","Not at all accurate","100","Very accurate","50","By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties","0","0","10","50","100","95","I would be willing to wait in line up to 15 minutes to vote","Very important","40",NA,NA,"It is a fact that the Holocaust happened","Extremely","2024-02-23 07:42:28","2024-02-23 07:49:18","100","410","True","2024-02-23 07:49:19","EN","0","0","104.447","0","0","0","107.444","0","Not very accurate","0","75","49","75","90","4.639","126.01","126.982","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"By law, a woman should always be able to obtain an abortion as a matter of personal choice.","Should not face penalties","Should not face penalties","Should not face penalties","Should not face penalties","fc",NA,NA
